0.006666667,174.4
0.013333333,107.6
0.02,91.6
0.026666667,68.8
0.033333333,67.5
0.04,62.5
0.046666667,63.8
0.053333333,65.4
0.06,67
0.066666667,60
0.073333333,62.5
0.08,62.1
0.086666667,62.2
0.093333333,61.8
0.1,62.7
0.106666667,61.9
0.113333333,62
0.12,66.5
0.126666667,60.8
0.133333333,59.8
0.14,58
0.146666667,57.7
0.153333333,57.7
0.16,57
0.166666667,58.5
0.173333333,57.2
0.18,57.2
0.186666667,57.6
0.193333333,59.6
0.2,59.4
0.206666667,60.2
0.213333333,59.3
0.22,58.1
0.226666667,58.6
0.233333333,61
0.24,58.6
0.246666667,59.7
0.253333333,65.9
0.26,66
0.266666667,64.6
0.273333333,65.9
0.28,66.7
0.286666667,68.5
0.293333333,65.3
0.3,65.7
0.306666667,67
0.313333333,65.6
0.32,67.2
0.326666667,66.2
0.333333333,64.7
0.34,65.8
0.346666667,66.3
0.353333333,67.4
0.36,65.5
0.366666667,64.2
0.373333333,64.1
0.38,65.3
0.386666667,64.7
0.393333333,67.4
0.4,71.4
0.406666667,72.2
0.413333333,74.9
0.42,68.5
0.426666667,81.6
0.433333333,82.2
0.44,78.5
0.446666667,74.3
0.453333333,72.1
0.46,71.1
0.466666667,67.4
0.473333333,67.1
0.48,66.7
0.486666667,66.4
0.493333333,67
0.5,67.2
0.506666667,92.8
0.513333333,92.3
0.52,90.9
0.526666667,90
0.533333333,91.1
0.54,90.9
0.546666667,87.9
0.553333333,86.9
0.56,88.8
0.566666667,87.3
0.573333333,87.1
0.58,86.8
0.586666667,87.3
0.593333333,87.5
0.6,87.5
0.606666667,86.7
0.613333333,86.9
0.62,87.6
0.626666667,88.1
0.633333333,87.8
0.64,86.8
0.646666667,88.1
0.653333333,87
0.66,88.4
0.666666667,88.8
0.673333333,90.9
0.68,95
0.686666667,92.2
0.693333333,90.4
0.7,87.3
0.706666667,88.4
0.713333333,86.4
0.72,87
0.726666667,86.5
0.733333333,86.9
0.74,86.4
0.746666667,86.3
0.753333333,88.7
0.76,90.4
0.766666667,87.4
0.773333333,91.3
0.78,89.9
0.786666667,87.7
0.793333333,87.8
0.8,90.3
0.806666667,90.9
0.813333333,91.5
0.82,94.4
0.826666667,91.8
0.833333333,90
0.84,89.4
0.846666667,90.6
0.853333333,90.3
0.86,91.2
0.866666667,90.3
0.873333333,90.4
0.88,89.3
0.886666667,89.5
0.893333333,89.7
0.9,90.9
0.906666667,90.2
0.913333333,88.2
0.92,88
0.926666667,90.4
0.933333333,91.2
0.94,90.1
0.946666667,93.4
0.953333333,93.7
0.96,92.2
0.966666667,91.8
0.973333333,89.5
0.98,93.4
0.986666667,94.8
0.993333333,90.9
1,90.9
